color,country,latitude,longitude,wikidata,must be 1 or more,special value in what could be previous row,note
1,Papua New Guinea,-6.3,147,http://www.wikidata.org/entity/Q691,#VALUE!,0: borders,
2,Switzerland,46.798562,8.231973,http://www.wikidata.org/entity/Q39,1,,
3,Myanmar,22,96,http://www.wikidata.org/entity/Q836,1,,
4,Niger,17,10,http://www.wikidata.org/entity/Q1032,1,,
5,Chile,-33,-71,http://www.wikidata.org/entity/Q298,1,,
6,Malawi,-13,34,http://www.wikidata.org/entity/Q1020,1,,
7,India,22.8,83,http://www.wikidata.org/entity/Q668,1,,
8,Japan,35,136,http://www.wikidata.org/entity/Q17,1,,
9,Philippines,12,123,http://www.wikidata.org/entity/Q928,1,,
10,North Korea,40,127,http://www.wikidata.org/entity/Q423,1,,
11,Taiwan,24,121,http://www.wikidata.org/entity/Q865,1,,
12,Austria,48,14,http://www.wikidata.org/entity/Q40,1,,
13,South Sudan,7,30,http://www.wikidata.org/entity/Q958,1,,
14,Central African Republic,6.7,20.9,http://www.wikidata.org/entity/Q929,1,,
15,Mozambique,-19,35,http://www.wikidata.org/entity/Q1029,1,,
16,Madagascar,-20,47,http://www.wikidata.org/entity/Q1019,1,,
17,Mali,17,-4,http://www.wikidata.org/entity/Q912,1,,
18,Cuba,22,-79.5,http://www.wikidata.org/entity/Q241,1,,
19,Maldives,4.18,73.51,http://www.wikidata.org/entity/Q826,1,,
20,Malta,35.88333333,14.5,http://www.wikidata.org/entity/Q233,1,,
21,Netherlands,52.36666667,4.883333333,http://www.wikidata.org/entity/Q29999,1,,
22,Algeria,28,1,http://www.wikidata.org/entity/Q262,1,,
23,Greece,38.5,23,http://www.wikidata.org/entity/Q41,1,,
24,Belarus,53.52833333,28.04666667,http://www.wikidata.org/entity/Q184,1,,
25,East Timor,-8.966667,125.75,http://www.wikidata.org/entity/Q574,1,,
26,Ethiopia,9,40,http://www.wikidata.org/entity/Q115,1,,
27,Bhutan,27.45,90.5,http://www.wikidata.org/entity/Q917,1,,
28,Pakistan,30,71,http://www.wikidata.org/entity/Q843,1,,
29,Ecuador,-1,-78,http://www.wikidata.org/entity/Q736,1,,
30,Namibia,-23,17,http://www.wikidata.org/entity/Q1030,1,,
31,Haiti,19,-72.8,http://www.wikidata.org/entity/Q790,1,,
32,South Africa,-29,24,http://www.wikidata.org/entity/Q258,1,,
33,Iran,32,53,http://www.wikidata.org/entity/Q794,1,,
34,Burkina Faso,12.266667,-2.066667,http://www.wikidata.org/entity/Q965,1,,
35,Peru,-9.4,-76,http://www.wikidata.org/entity/Q419,1,,
36,Botswana,-22.2,23.7,http://www.wikidata.org/entity/Q963,1,,
37,Norway,65,11,http://www.wikidata.org/entity/Q20,1,,
38,American Samoa,-14.295833,-170.7075,http://www.wikidata.org/entity/Q16641,1,,
39,Vietnam,16,108,http://www.wikidata.org/entity/Q881,1,,
40,Senegal,14.366667,-14.283333,http://www.wikidata.org/entity/Q1041,1,,
41,Andorra,42.55833333,1.555277777,http://www.wikidata.org/entity/Q228,1,,
42,Antigua and Barbuda,17.11666667,-61.85,http://www.wikidata.org/entity/Q781,1,,
43,Venezuela,8,-67,http://www.wikidata.org/entity/Q717,1,,
44,Germany,51,10,http://www.wikidata.org/entity/Q183,1,,
45,Barbados,13.17,-59.5525,http://www.wikidata.org/entity/Q244,1,,
46,Saudi Arabia,23.716667,44.116667,http://www.wikidata.org/entity/Q851,1,,
47,Brunei,4.4,114.566667,http://www.wikidata.org/entity/Q921,1,,
48,Australia,-28,137,http://www.wikidata.org/entity/Q408,1,,
49,Egypt,27,29,http://www.wikidata.org/entity/Q79,1,,
50,Sudan,15,32,http://www.wikidata.org/entity/Q1049,1,,
51,Chad,15.466667,19.4,http://www.wikidata.org/entity/Q657,1,,
52,Cape Verde,15.91666667,-24.08333333,http://www.wikidata.org/entity/Q1011,1,,
53,Bahrain,26.0675,50.551111,http://www.wikidata.org/entity/Q398,1,,
54,Comoros,-12.23333,44.44553,http://www.wikidata.org/entity/Q970,1,,
55,Cook Islands,-21.23333333,-159.7833333,http://www.wikidata.org/entity/Q26988,1,,
56,Costa Rica,10,-84,http://www.wikidata.org/entity/Q800,1,,
57,Dominica,15.416667,-61.333333,http://www.wikidata.org/entity/Q784,1,,
58,Dominican Republic,18.8,-70.2,http://www.wikidata.org/entity/Q786,1,,
59,El Salvador,13.668889,-88.866111,http://www.wikidata.org/entity/Q792,1,,
60,Federated States of Micronesia,6.916666666,158.1833333,http://www.wikidata.org/entity/Q702,1,,
61,Fiji,-18,178,http://www.wikidata.org/entity/Q712,1,,
62,Grenada,12.116667,-61.666667,http://www.wikidata.org/entity/Q769,1,,
63,Somaliland,9.8,46.2,http://www.wikidata.org/entity/Q34754,1,,
64,Somalia,6,47,http://www.wikidata.org/entity/Q1045,1,,
65,Ivory Coast,8,-6,http://www.wikidata.org/entity/Q1008,1,,
66,Guatemala,15.5,-90.25,http://www.wikidata.org/entity/Q774,1,,
67,Guinea,10,-11,http://www.wikidata.org/entity/Q1006,1,,
68,Guinea-Bissau,12,-15,http://www.wikidata.org/entity/Q1007,1,,
69,Guyana,5.733333,-59.316667,http://www.wikidata.org/entity/Q734,1,,
70,Honduras,14.633333,-86.816667,http://www.wikidata.org/entity/Q783,1,,
71,United Kingdom,54.6,-2,http://www.wikidata.org/entity/Q145,1,,
72,Hungary,47,19,http://www.wikidata.org/entity/Q28,1,,
73,Jamaica,18.18,-77.4,http://www.wikidata.org/entity/Q766,1,,
74,Jordan,31.2,36.5,http://www.wikidata.org/entity/Q810,1,,
75,Kenya,0.1,38,http://www.wikidata.org/entity/Q114,1,,
76,Indonesia,-2,118,http://www.wikidata.org/entity/Q252,1,,
77,Republic of the Congo,-0.75,15.38333056,http://www.wikidata.org/entity/Q971,1,,
